Item Name,Product Type,Sex,Reorder,Size,SKU,Total Needed,On Hand,In Transit,Shows Left,+/-,Sales to Date,Lancaster - 03/12/26 ($3.28/head),Englewood - 03/13/26 ($3.28/head),Flint - 03/14/26 ($3.28/head),Prior Lake - 03/27/26 ($3.28/head),Kansas City - 03/28/26 ($3.28/head),Saint Louis - 03/29/26 ($3.28/head),Warehouse,Ordered,Global +/-
50th Anniversary Tour Date T-Shirt 2026,T-Shirt,Unisex,Not Set,S,AIRS-T1021-S,11,0,0,0,-11,8,2,0,2,3,2,2,0,0,-11
50th Anniversary Tour Date T-Shirt 2026,T-Shirt,Unisex,Not Set,M,AIRS-T1021-M,6,0,0,0,-6,2,1,0,1,2,1,1,0,0,-6
50th Anniversary Tour Date T-Shirt 2026,T-Shirt,Unisex,Not Set,L,AIRS-T1021-L,58,51,0,5,-7,70,12,1,12,16,8,9,0,0,-7
50th Anniversary Tour Date T-Shirt 2026,T-Shirt,Unisex,Not Set,XL,AIRS-T1021-XL,28,38,0,6,10,35,6,0,6,8,4,4,0,0,10
50th Anniversary Tour Date T-Shirt 2026,T-Shirt,Unisex,Not Set,2XL,AIRS-T1021-XXL,14,36,0,6,22,15,3,0,3,4,2,2,0,0,22
50th Anniversary Tour Date T-Shirt 2026,T-Shirt,Unisex,Not Set,3XL,AIRS-T1021-3XL,5,43,0,6,38,4,1,0,1,1,1,1,0,0,38
Balloon Arch Tee,T-Shirt,Unisex,Not Set,S,AIRS-T1017-S,0,11,0,6,11,1,0,0,0,0,0,0,71,0,82
Balloon Arch Tee,T-Shirt,Unisex,Not Set,M,AIRS-T1017-M,15,13,0,5,-2,11,3,0,3,5,2,2,55,0,53
Balloon Arch Tee,T-Shirt,Unisex,Not Set,L,AIRS-T1017-L,18,12,0,3,-6,12,4,0,4,5,2,3,128,0,122
Balloon Arch Tee,T-Shirt,Unisex,Not Set,XL,AIRS-T1017-XL,18,0,0,0,-18,12,4,0,4,5,2,3,115,0,97
