Item Name,Product Type,Sex,Reorder,Size,SKU,Total Needed,On Hand,In Transit,Shows Left,+/-,Sales to Date,Myrtle Beach - 03/07/25 ($5.97/head),Miramar - 03/08/25 ($5.97/head),Orlando - 03/09/25 ($5.97/head), - 03/15/25 ($5.97/head),Daytona Beach - 03/22/25 ($5.97/head),Atlantic City - 03/28/25 ($5.97/head),Medford - 03/29/25 ($5.97/head),Warehouse,Ordered,Global +/-
Women's V-Neck T-Shirt,T-Shirt,Female,Not Set,S,AIRS-T1014-S,1,23,0,7,22,29,0,1,0,0,0,0,0,180,0,202
Women's V-Neck T-Shirt,T-Shirt,Female,Not Set,M,AIRS-T1014-M,1,35,0,7,34,46,0,1,0,0,0,0,0,82,0,116
Women's V-Neck T-Shirt,T-Shirt,Female,Not Set,L,AIRS-T1014-L,1,5,18,7,22,70,0,1,0,0,0,0,0,65,0,87
Women's V-Neck T-Shirt,T-Shirt,Female,Not Set,XL,AIRS-T1014-XL,1,31,0,7,30,64,0,1,0,0,0,0,0,134,0,164
Women's V-Neck T-Shirt,T-Shirt,Female,Not Set,2XL,AIRS-T1014-XXL,1,40,0,7,39,45,0,1,0,0,0,0,0,72,0,111
Est. 1975 Guitar T-Shirt,T-Shirt,Male,Not Set,S,AIRS-T1010-S,0,17,0,7,17,21,0,0,0,0,0,0,0,100,0,117
Est. 1975 Guitar T-Shirt,T-Shirt,Male,Not Set,M,AIRS-T1010-M,1,37,0,7,36,45,0,1,0,0,0,0,0,209,0,245
Est. 1975 Guitar T-Shirt,T-Shirt,Male,Not Set,L,AIRS-T1010-L,2,86,0,7,84,78,0,2,0,0,0,0,0,249,0,333
Est. 1975 Guitar T-Shirt,T-Shirt,Male,Not Set,XL,AIRS-T1010-XL,2,61,0,7,59,112,0,2,0,0,0,0,0,220,0,279
Est. 1975 Guitar T-Shirt,T-Shirt,Male,Not Set,2XL,AIRS-T1010-XXL,1,18,0,7,17,42,0,1,0,0,0,0,0,122,0,139
Est. 1975 Guitar T-Shirt,T-Shirt,Male,Not Set,3XL,AIRS-T1010-3XL,1,24,0,7,23,29,0,1,0,0,0,0,0,72,0,95
Logo Bandana 24',Bandana,,Not Set,,AIRS-ACC1005,1,-19,0,0,-20,101,0,1,0,0,0,0,0,0,0,-20
KOALA MAGNET 24',Accessories,,Not Set,,AIRS-ACC1006,2,-19,0,0,-21,96,0,2,0,0,0,0,0,0,0,-21
Red Logo Lanyards '24,Lanyard,,Not Set,,AIRS-TOUR-ACC1001,2,-23,50,0,25,115,0,2,0,0,0,0,0,140,0,165
50th Anniversary Denim Jacket,Jacket,Unisex,Not Set,S,AIRS-JACK1001-S,1,0,0,1,-1,8,0,1,0,0,0,0,0,0,0,-1
50th Anniversary Denim Jacket,Jacket,Unisex,Not Set,M,AIRS-JACK1001-M,0,0,6,7,6,19,0,0,0,0,0,0,0,10,0,16
50th Anniversary Denim Jacket,Jacket,Unisex,Not Set,L,AIRS-JACK1001-L,0,1,6,7,7,18,0,0,0,0,0,0,0,16,0,23
50th Anniversary Denim Jacket,Jacket,Unisex,Not Set,XL,AIRS-JACK1001-XL,0,3,6,7,9,16,0,0,0,0,0,0,0,3,0,12
50th Anniversary Denim Jacket,Jacket,Unisex,Not Set,2XL,AIRS-JACK1001-XXL,0,0,0,7,0,18,0,0,0,0,0,0,0,0,0,0
Balloon Arch Tee,T-Shirt,Unisex,Not Set,S,AIRS-T1017-S,0,25,0,7,25,33,0,0,0,0,0,0,0,82,0,107
