Item Name,Product Type,Sex,Reorder,Size,SKU,Total Needed,On Hand,In Transit,Shows Left,+/-,Sales to Date,Inglewood - 03/05/25 ($35.00/head),Las Vegas - 03/08/25 ($30.00/head),Phoenix - 03/09/25 ($30.00/head),Austin - 03/12/25 ($30.00/head),San Antonio - 03/13/25 ($35.00/head),Dallas - 03/15/25 ($35.00/head),Houston - 03/16/25 ($32.00/head),Atlanta - 03/18/25 ($30.00/head),Orlando - 03/20/25 ($30.00/head),Sunrise - 03/22/25 ($30.00/head),Charlotte - 03/24/25 ($30.00/head),Nashville - 03/26/25 ($30.00/head),"Indianapolis, IN - 03/28/25 ($30.00/head)",Columbus - 03/29/25 ($30.00/head),Chicago - 03/31/25 ($30.00/head),Detroit - 04/01/25 ($30.00/head),New York City - 04/03/25 ($30.00/head),Philadelphia - 04/04/25 ($30.00/head),Washington - 04/06/25 ($30.00/head),Boston - 04/08/25 ($30.00/head),Newark - 04/09/25 ($30.00/head),Warehouse,Ordered,Global +/-
"Snake Hand White T-Shirt	",T-Shirt,Unisex,Not Set,S,DEFTONES-T1064-S,981,192,0,3,-789,163,93,40,43,37,54,51,43,40,40,40,50,43,43,47,47,47,47,43,47,43,43,0,0,-789
"Snake Hand White T-Shirt	",T-Shirt,Unisex,Not Set,M,DEFTONES-T1064-M,1962,584,0,5,-1378,354,187,80,87,73,109,101,85,80,80,80,100,87,87,93,93,93,93,87,93,87,87,0,0,-1378
"Snake Hand White T-Shirt	",T-Shirt,Unisex,Not Set,L,DEFTONES-T1064-L,2354,585,0,4,-1769,418,224,96,104,88,131,121,102,96,96,96,120,104,104,112,112,112,112,104,112,104,104,0,0,-1769
"Snake Hand White T-Shirt	",T-Shirt,Unisex,Not Set,XL,DEFTONES-T1064-XL,1766,533,0,5,-1233,329,168,72,78,66,98,91,77,72,72,72,90,78,78,84,84,84,84,78,84,78,78,0,0,-1233
"Snake Hand White T-Shirt	",T-Shirt,Unisex,Not Set,2XL,DEFTONES-T1064-XXL,981,341,0,6,-640,161,93,40,43,37,54,51,43,40,40,40,50,43,43,47,47,47,47,43,47,43,43,0,0,-640
"Prism 2025 Tour Black T-Shirt	",T-Shirt,Unisex,Not Set,S,DEFTONES-T1061-S,2354,317,0,1,-2037,403,224,96,104,88,131,121,102,96,96,96,120,104,104,112,112,112,112,104,112,104,104,0,0,-2037
"Prism 2025 Tour Black T-Shirt	",T-Shirt,Unisex,Not Set,M,DEFTONES-T1061-M,5494,700,0,1,-4794,944,523,224,243,205,305,283,239,224,224,224,280,243,243,261,261,261,261,243,261,243,243,0,0,-4794
"Prism 2025 Tour Black T-Shirt	",T-Shirt,Unisex,Not Set,L,DEFTONES-T1061-L,7063,1040,0,2,-6023,1224,672,288,312,264,392,364,307,288,288,288,360,312,312,336,336,336,336,312,336,312,312,0,0,-6023
"Prism 2025 Tour Black T-Shirt	",T-Shirt,Unisex,Not Set,XL,DEFTONES-T1061-XL,5494,790,0,2,-4704,947,523,224,243,205,305,283,239,224,224,224,280,243,243,261,261,261,261,243,261,243,243,0,0,-4704
"Prism 2025 Tour Black T-Shirt	",T-Shirt,Unisex,Not Set,2XL,DEFTONES-T1061-XXL,2354,300,0,1,-2054,410,224,96,104,88,131,121,102,96,96,96,120,104,104,112,112,112,112,104,112,104,104,0,0,-2054
"Prism 2025 Tour Black T-Shirt	",T-Shirt,Unisex,Not Set,3XL,DEFTONES-T1061-3XL,1177,81,0,0,-1096,204,112,48,52,44,65,61,51,48,48,48,60,52,52,56,56,56,56,52,56,52,52,0,0,-1096
"Dandelion T-Shirt	",T-Shirt,Unisex,Not Set,S,DEFTONES-T1060-S,1962,209,0,1,-1753,366,187,80,87,73,109,101,85,80,80,80,100,87,87,93,93,93,93,87,93,87,87,0,0,-1753
"Dandelion T-Shirt	",T-Shirt,Unisex,Not Set,M,DEFTONES-T1060-M,3140,413,0,1,-2727,546,299,128,139,117,174,162,137,128,128,128,160,139,139,149,149,149,149,139,149,139,139,0,0,-2727
"Dandelion T-Shirt	",T-Shirt,Unisex,Not Set,L,DEFTONES-T1060-L,3140,414,0,1,-2726,543,299,128,139,117,174,162,137,128,128,128,160,139,139,149,149,149,149,139,149,139,139,0,0,-2726
"Dandelion T-Shirt	",T-Shirt,Unisex,Not Set,XL,DEFTONES-T1060-XL,2746,469,0,2,-2277,487,261,112,121,103,152,142,119,112,112,112,140,121,121,131,131,131,131,121,131,121,121,0,0,-2277
"Dandelion T-Shirt	",T-Shirt,Unisex,Not Set,2XL,DEFTONES-T1060-XXL,1374,243,0,2,-1131,249,131,56,61,51,76,71,60,56,56,56,70,61,61,65,65,65,65,61,65,61,61,0,0,-1131
"Ghosts in Space Creme T-Shirt	",T-Shirt,Unisex,Not Set,S,,785,219,0,5,-566,141,75,32,35,29,44,40,34,32,32,32,40,35,35,37,37,37,37,35,37,35,35,283,0,-283
"Ghosts in Space Creme T-Shirt	",T-Shirt,Unisex,Not Set,M,,1766,269,0,2,-1497,307,168,72,78,66,98,91,77,72,72,72,90,78,78,84,84,84,84,78,84,78,78,357,0,-1140
"Ghosts in Space Creme T-Shirt	",T-Shirt,Unisex,Not Set,L,,1962,311,0,2,-1651,336,187,80,87,73,109,101,85,80,80,80,100,87,87,93,93,93,93,87,93,87,87,501,0,-1150
"Ghosts in Space Creme T-Shirt	",T-Shirt,Unisex,Not Set,XL,,1177,365,0,5,-812,222,112,48,52,44,65,61,51,48,48,48,60,52,52,56,56,56,56,52,56,52,52,360,0,-452
"Ghosts in Space Creme T-Shirt	",T-Shirt,Unisex,Not Set,2XL,,589,299,0,10,-290,96,56,24,26,22,33,30,26,24,24,24,30,26,26,28,28,28,28,26,28,26,26,288,0,-2
Pink 2025 Prism T-shirt,T-Shirt,Unisex,Not Set,S,DEFTONES-T1063-S,2293,240,0,1,-2053,396,218,94,101,86,127,118,100,94,94,94,117,101,101,109,109,109,109,101,109,101,101,0,0,-2053
