artistName,Genre,showDate,venue name,venue city,venue state,attendance,product size,productType,product price,Item Name
Air Supply,Pop,1/5/2025,9:30 Club,Alexandria,VA,1000,S,T-Shirt,40,San Francisco Tee
Air Supply,Pop,1/5/2025,9:30 Club,Alexandria,VA,1000,M,T-Shirt,40,San Francisco Tee
Air Supply,Pop,1/5/2025,9:30 Club,Alexandria,VA,1000,L,T-Shirt,40,San Francisco Tee
Air Supply,Pop,1/5/2025,9:30 Club,Alexandria,VA,1000,2XL,T-Shirt,40,San Francisco Tee
Air Supply,Pop,1/5/2025,9:30 Club,Alexandria,VA,1000,ONE SIZE,Bag,20,Logo Tote Bag
Air Supply,Pop,1/5/2025,9:30 Club,Alexandria,VA,1000,L,T-Shirt,40,Summer Rain Tee
Air Supply,Pop,1/5/2025,9:30 Club,Alexandria,VA,1000,XL,T-Shirt,40,Summer Rain Tee
Air Supply,Pop,1/5/2025,9:30 Club,Alexandria,VA,1000,2XL,T-Shirt,40,Summer Rain Tee
Air Supply,Pop,1/5/2025,9:30 Club,Alexandria,VA,1000,S,T-Shirt,40,Golden Flowers Tee
Air Supply,Pop,1/5/2025,9:30 Club,Alexandria,VA,1000,L,T-Shirt,40,Golden Flowers Tee
Air Supply,Pop,1/5/2025,9:30 Club,Alexandria,VA,1000,ONE SIZE,Bag,20,Logo Tote Bag
