Item Name,Product Type,Sex,Reorder,Size,SKU,Total Needed,On Hand,In Transit,Shows Left,+/-,Sales to Date,"Chicago, IL - 11/02/24 ($16.23/head)",Las Vegas - 11/13/24 ($16.23/head),Warehouse,Ordered,Global +/-
Black Halloween Event Tee,T-Shirt,Unisex,Not Set,S,,167.0,-35.0,0.0,0.0,-202.0,35.0,33.0,134.0,23.0,0.0,-179.0
Black Halloween Event Tee,T-Shirt,Unisex,Not Set,M,,453.0,-98.0,0.0,0.0,-551.0,95.0,89.0,364.0,62.0,0.0,-489.0
Black Halloween Event Tee,T-Shirt,Unisex,Not Set,L,,670.0,-143.0,0.0,0.0,-813.0,141.0,132.0,538.0,65.0,0.0,-748.0
Black Halloween Event Tee,T-Shirt,Unisex,Not Set,XL,,527.0,-113.0,0.0,0.0,-640.0,111.0,104.0,423.0,53.0,0.0,-587.0
Black Halloween Event Tee,T-Shirt,Unisex,Not Set,2XL,,167.0,-35.0,0.0,0.0,-202.0,35.0,33.0,134.0,3.0,0.0,-199.0
Tracklist Tee,T-Shirt,Unisex,Not Set,S,B52-T1048-S,47.0,-11.0,61.0,0.0,3.0,11.0,9.0,38.0,47.0,0.0,50.0
Tracklist Tee,T-Shirt,Unisex,Not Set,M,B52-T1048-M,102.0,-24.0,96.0,0.0,-30.0,24.0,20.0,82.0,102.0,0.0,72.0
Tracklist Tee,T-Shirt,Unisex,Not Set,L,B52-T1048-L,98.0,-23.0,96.0,0.0,-25.0,23.0,19.0,79.0,65.0,0.0,40.0
Tracklist Tee,T-Shirt,Unisex,Not Set,XL,B52-T1048-XL,80.0,-19.0,72.0,0.0,-27.0,19.0,16.0,64.0,146.0,0.0,119.0
Tracklist Tee,T-Shirt,Unisex,Not Set,2XL,B52-T1048-XXL,51.0,-12.0,48.0,0.0,-15.0,12.0,10.0,41.0,75.0,0.0,60.0
Cosmic Thing Shape Tee,T-Shirt,Unisex,Not Set,S,B52-T1052-S,11.0,-4.0,46.0,0.0,31.0,3.0,2.0,9.0,26.0,0.0,57.0
Cosmic Thing Shape Tee,T-Shirt,Unisex,Not Set,M,B52-T1052-M,69.0,-17.0,96.0,0.0,10.0,16.0,14.0,55.0,70.0,0.0,80.0
Cosmic Thing Shape Tee,T-Shirt,Unisex,Not Set,L,B52-T1052-L,102.0,-24.0,94.0,0.0,-32.0,24.0,20.0,82.0,47.0,0.0,15.0
