Item Name,Product Type,Sex,Reorder,Size,SKU,Total Needed,On Hand,In Transit,Shows Left,+/-,Sales to Date,"Chicago, IL - 11/02/24 ($16.23/head)",Las Vegas - 11/13/24 ($16.23/head),Warehouse,Ordered,Global +/-
Black Halloween Event Tee,T-Shirt,Unisex,Not Set,S,,167,-35,0,0,-202,35,33,134,23,0,-179
Black Halloween Event Tee,T-Shirt,Unisex,Not Set,M,,453,-98,0,0,-551,95,89,364,62,0,-489
Black Halloween Event Tee,T-Shirt,Unisex,Not Set,L,,670,-143,0,0,-813,141,132,538,65,0,-748
Black Halloween Event Tee,T-Shirt,Unisex,Not Set,XL,,527,-113,0,0,-640,111,104,423,53,0,-587
Black Halloween Event Tee,T-Shirt,Unisex,Not Set,2XL,,167,-35,0,0,-202,35,33,134,3,0,-199
Tracklist Tee,T-Shirt,Unisex,Not Set,S,B52-T1048-S,47,-11,61,0,3,11,9,38,47,0,50
Tracklist Tee,T-Shirt,Unisex,Not Set,M,B52-T1048-M,102,-24,96,0,-30,24,20,82,102,0,72
Tracklist Tee,T-Shirt,Unisex,Not Set,L,B52-T1048-L,98,-23,96,0,-25,23,19,79,65,0,40
Tracklist Tee,T-Shirt,Unisex,Not Set,XL,B52-T1048-XL,80,-19,72,0,-27,19,16,64,146,0,119
Tracklist Tee,T-Shirt,Unisex,Not Set,2XL,B52-T1048-XXL,51,-12,48,0,-15,12,10,41,75,0,60
Cosmic Thing Shape Tee,T-Shirt,Unisex,Not Set,S,B52-T1052-S,11,-4,46,0,31,3,2,9,26,0,57
Cosmic Thing Shape Tee,T-Shirt,Unisex,Not Set,M,B52-T1052-M,69,-17,96,0,10,16,14,55,70,0,80
Cosmic Thing Shape Tee,T-Shirt,Unisex,Not Set,L,B52-T1052-L,102,-24,94,0,-32,24,20,82,47,0,15
Cosmic Thing Shape Tee,T-Shirt,Unisex,Not Set,XL,B52-T1052-XL,19,-4,72,0,49,4,4,15,88,0,137
Cosmic Thing Shape Tee,T-Shirt,Unisex,Not Set,2XL,B52-T1052-XXL,44,-11,48,0,-7,10,9,35,89,0,82
Cosmic Thing Shape Tee,T-Shirt,Unisex,Not Set,3XL,B52-T1052-3XL,0,0,0,2,0,,N/A,N/A,0,0,0
Pink Farewell Tour Biker Hoodie,Pullover Hoodie,Unisex,Not Set,S,B52-HOOD1006-S,0,0,0,2,0,,N/A,N/A,14,0,14
Pink Farewell Tour Biker Hoodie,Pullover Hoodie,Unisex,Not Set,M,B52-HOOD1006-M,0,0,0,2,0,,N/A,N/A,0,0,0
Pink Farewell Tour Biker Hoodie,Pullover Hoodie,Unisex,Not Set,L,B52-HOOD1006-L,0,0,0,2,0,,N/A,N/A,2,0,2
Pink Farewell Tour Biker Hoodie,Pullover Hoodie,Unisex,Not Set,XL,B52-HOOD1006-XL,0,0,0,2,0,,N/A,N/A,0,0,0
Pink Farewell Tour Biker Hoodie,Pullover Hoodie,Unisex,Not Set,2XL,B52-HOOD1006-XXL,0,0,0,2,0,,N/A,N/A,0,0,0
Pink Farewell Tour Biker Hoodie,Pullover Hoodie,Unisex,Not Set,3XL,B52-HOOD1006-3XL,0,0,0,2,0,,N/A,N/A,0,0,0
Rock Lobster Red Hat,Hat,Unisex,Not Set,One-Size,B52-ACC1024,42,-10,60,0,8,10,8,34,170,0,178
Love Shack Keychain,Keychain,,Not Set,,B52-ACC1026,98,-23,100,0,-21,23,19,79,63,0,42
COSMIC THING LP SIGNED,Vinyl,,Not Set,,,25,-7,0,0,-32,7,5,20,0,0,-32
DC Event Poster SIGNED,Poster,,Not Set,,,215,-51,0,0,-266,51,42,173,0,0,-266
Flower Hoodie,Pullover Hoodie,Unisex,Not Set,S,,13,-3,0,0,-16,3,3,10,0,0,-16
Flower Hoodie,Pullover Hoodie,Unisex,Not Set,M,,17,-4,0,0,-21,4,3,14,0,0,-21
Flower Hoodie,Pullover Hoodie,Unisex,Not Set,L,,26,-6,0,0,-32,6,5,21,0,0,-32
Flower Hoodie,Pullover Hoodie,Unisex,Not Set,XL,,17,-4,0,0,-21,4,3,14,0,0,-21
Flower Hoodie,Pullover Hoodie,Unisex,Not Set,2XL,,13,-3,0,0,-16,3,3,10,0,0,-16
Signed Cindy CD,CD,,Not Set,,,4,-1,0,0,-5,1,1,3,0,0,-5
Kate Vinyl Signed,Vinyl,,Not Set,,B52-TOUR-VINYL1001,0,0,0,2,0,,N/A,N/A,0,0,0
Kate Vinyl Unsigned,Vinyl,,Not Set,,B52-TOUR-VINYL1003,0,0,0,2,0,,N/A,N/A,0,0,0
Cindy CD Unsigned,CD,,Not Set,,,0,0,0,2,0,,N/A,N/A,0,0,0
Chicago Event Poster Signed,Poster,,Not Set,,,0,0,0,2,0,,N/A,N/A,0,0,0
UNSIGNED DC Poster,Poster,,Not Set,,,169,-50,0,0,-219,40,33,136,0,0,-219
DEBUT LP SIGNED,Vinyl,,Not Set,,B52-TOUR-VINYL1002,54,-15,0,0,-69,15,11,43,0,0,-69
Radios and Rainbows Vinyl SIGNED,Vinyl,,Not Set,,,0,-4,0,0,-4,0,0,0,0,0,-4
UNSIGNED CHI Poster,Poster,,Not Set,,,0,0,0,2,0,,N/A,N/A,0,0,0
,,,,,,,,,,,,,,,,
Inventory Forecast Includes: On Hand,,,,,,,,,,,,,,,,
