Band Name,Band Link,Has MerchIQ,MerchIQ Link
Manhead Merchandise,https://artist.atvenu.com/organizations/3,No,
2 Chainz (MH),https://artist.atvenu.com/account/42199/av/tours/86022/dashboard,Yes,https://artist.atvenu.com/as/talents/39649/tour_forecast_merch_items?tour_id=86022
A Bowie Celebration (MH),https://artist.atvenu.com/account/12071/new_dashboard?tour_id=0,No,
A.C.E.,https://artist.atvenu.com/account/12399/new_dashboard?tour_id=0,No,
Aaron Lewis,https://artist.atvenu.com/account/41168/av/tours/83350/dashboard,Yes,https://artist.atvenu.com/as/talents/38650/tour_forecast_merch_items?tour_id=83350
Air Supply,https://artist.atvenu.com/account/18981/new_dashboard?tour_id=0,Yes,https://artist.atvenu.com/as/talents/18219/tours/73131/tour_forecast
Alan Parsons Live,https://artist.atvenu.com/account/15282/new_dashboard?tour_id=0,Yes,https://artist.atvenu.com/as/talents/15177/tours/38347/tour_forecast
Alanis Morissette (MH),https://artist.atvenu.com/account/15296/new_dashboard?tour_id=0,Yes,https://artist.atvenu.com/as/talents/15190/tours/56540/tour_forecast
Alanis Morissette Wellness Brand,https://artist.atvenu.com/account/24585/av/tours/57049/dashboard,Yes,https://artist.atvenu.com/as/talents/22811/tour_forecast_merch_items?tour_id=57049
Alec Benjamin (MH),https://artist.atvenu.com/account/15596/new_dashboard?tour_id=0,No,
Alice in Chains (MH),https://artist.atvenu.com/account/19085/new_dashboard?tour_id=0,Yes,https://artist.atvenu.com/as/talents/18294/tours/72095/tour_forecast
All That Remains (MH),https://artist.atvenu.com/account/17745/new_dashboard?tour_id=0,Yes,https://artist.atvenu.com/as/talents/17256/tours/38315/tour_forecast
Andrea Gibson (MH),https://artist.atvenu.com/account/4574/new_dashboard?tour_id=0,No,
Andrew McMahon in the Wilderness (MH),https://artist.atvenu.com/account/36716/av/tours/86375/dashboard,Yes,https://artist.atvenu.com/as/talents/34712/tour_forecast_merch_items?tour_id=86375
Apocalyptica,https://artist.atvenu.com/account/1442/new_dashboard?tour_id=0,Yes,https://artist.atvenu.com/as/talents/1426/tours/42197/tour_forecast
ASIA (MH),https://artist.atvenu.com/account/24473/new_dashboard?tour_id=0,Yes,https://artist.atvenu.com/as/talents/22731/tours/56644/tour_forecast
Atarashii Gakko! (MH),https://artist.atvenu.com/account/23053/new_dashboard?tour_id=0,Yes,https://artist.atvenu.com/as/talents/21593/tours/57344/tour_forecast
Austin Snell (MH),https://artist.atvenu.com/account/24879/av/tours/74236/dashboard,Yes,https://artist.atvenu.com/as/talents/23041/tour_forecast_merch_items?tour_id=74236
B 52's,https://artist.atvenu.com/account/405/new_dashboard?tour_id=0,Yes,https://artist.atvenu.com/as/talents/8986/tours/72158/tour_forecast
Bert Kreischer (MH),https://artist.atvenu.com/account/15936/new_dashboard?tour_id=0,Yes,https://artist.atvenu.com/as/talents/15758/tours/40514/tour_forecast
Billy Idol (Manhead),https://artist.atvenu.com/account/13807/new_dashboard?tour_id=0,Yes,https://artist.atvenu.com/as/talents/13872/tours/74703/tour_forecast
