artistName,spotifyMonthlyListeners
ASIA (MH),434368
Air Supply,9197653
Alan Parsons Live,4634897
Alanis Morissette (MH),8105013
Alanis Morissette Wellness Brand,8105013
All That Remains (MH),1353814
Andrew McMahon in the Wilderness (MH),376093
Apocalyptica,2980725
Atarashii Gakko! (MH),871693
Austin Snell (MH),28551796
B 52's,3477272
BOYS LIKE GIRLS (MH),3178454
Band Loula,43066
Bert Kreischer (MH),1813
Billy Idol (Manhead),30680822
Billy Porter (MH),18032
Black Pistol Fire,499615
Blindside (MH),28388
Brantley Gilbert (MH),2911083
Butch Walker,117725
Celtic Thunder (MH),56835687
Celtic Woman,1222034
Clandestine,1014017
Country Music Association (MH),107078773
Cyndi Lauper (MH),18513932
Dashboard Confessional (MH),1630917
Dean Lewis (MH),17080123
Deftones (MH),16915093
Emerald Cup Festival (MH),74405
Fall Out Boy,28686255
Garbage (MH),36141826
Gaslight Anthem (MH),907
Gavin DeGraw,3021056
Halestorm (MH),3709060
INHALER (MH),1406929
J.I.D.,19264712
JXDN,1835767
Jelly Roll (MH),20436105
Jerry Cantrell (MH),407972
Jewel (Manhead),1618544
Joan Jett (MH),6707353
Joe Perry Project,4921
Joji (MH),27950859
Jukebox The Ghost (Manhead),529873
Justin Hayward (Manhead),132481
Kameron Marlowe (MH),2921807
LIMP BIZKIT (MH),21247284
Labrinth (MH),2279321
Lainey Wilson (MH),10223883
Lukas Nelson (MH),957213
Lykke Li (MH),10409586
Machine Gun Kelly (MH),16665261
Macklemore (MH),26191058
Maddie Zahm (MH),869781
Madness (MH),120269333
Manchester Orchestra (MH),3136988
Marina (MH),717597
Marvelous 3,21935
Masiwei (MH),251704
Matt And Kim,611075
Matt Nathanson,1039048
Megadeth,5377680
Michael Franti & Spearhead (Manhead),1056254
Midnight Oil (MH),552442
Midtown,14929161
Morrissey,2335859
NIKI,15788538
Nessa Barrett (MH),5653416
New Edition,1551070
Noel Gallagher HFB (MH),581
Oliver Anthony (MH),2504879
Panic! At the Disco,21008505
Royal Blood (MH),189678
Seal (MH),705882
Sebastian Maniscalco (MH),64794
Sexyy Red,18614607
Shame,24328980
Skegss (MH),535412
Something Corporate (MH),2789946
Sonic Symphony,13307
Stardew Valley,534979
Taylor Tomlinson (MH),468
Temples (MH),20051
The Buggles (MH),2824652
The Chats (MH),433101
The Interrupters (MH),757333
The Marley Brothers (MH),8979
The Sisters Of Mercy (MH),1047428
The Smashing Pumpkins (MH),13643852
The Zombies (MH),933467
Toto (MH),24723
Train,35522932
Trevor Noah (MH),725404
Tyler Childers (MH),10381557
Umphrey's McGee,165684
Warren Hue,277932
Weezer (MH),15370038
Willow (MH),200674
YES (MH),207871
Yellowcard (MH),4049281
Zac Brown Band (MH),8812632
Zach Top (MH),7218700
