Zip	Coordinates
55372	44.7133, -93.42273
61107	42.27113, -89.094
34950	27.44671, -80.32561
32205	30.33218, -81.65565
33755	27.96585, -82.8001
46992	40.79782, -85.82054
46516	37.00808, -101.89017
33125	25.77427, -80.19366
34236	27.33643, -82.53065
06382	41.43454, -72.1098
63125	43.40836, -84.60667
64161	39.09973, -94.57857
80202	39.73915, -104.9847
89109	36.17497, -115.13722
L2G 3Y5	43.0945, -79.05671
80903	38.83388, -104.82136
99001	47.64461, -117.59327
94566	37.66243, -121.87468
98223	32.73569, -97.10807
V6B 6G1	49.24966, -123.11934
T5J 0H6	53.55014, -113.46871
T2G 2W1	51.05011, -114.08529
55403	44.97997, -93.26384
53203	43.0389, -87.90647
14203	42.88645, -78.87837
M5V 1J3	43.70643, -79.39864
H3B 5E8	45.50884, -73.58781
44115	41.4995, -81.69541
21201	39.29038, -76.61219
63103	38.62727, -90.19789
80204	39.73915, -104.9847
64106	39.09973, -94.57857
32819	28.53834, -81.37924
33060	26.23786, -80.12477
33701	59.93863, 30.31413
30312	33.749, -84.38798
37203	36.16589, -86.78444
44103	41.4995, -81.69541
48201	42.33143, -83.04575
19123	39.95238, -75.16362
20024	38.89511, -77.03637
02215	42.35843, -71.05977
11201	40.6501, -73.94958
06510	41.30815, -72.92816
15212	40.44062, -79.99589
on m4l 1g5	43.70643, -79.39864
92629	33.46697, -117.69811
60642	41.85003, -87.65005
41071	51.58774, -2.99835
43215	39.96118, -82.99879
53703	43.07305, -89.40123
64105	39.09973, -94.57857
75226	32.78306, -96.80667
78701	30.26715, -97.74306
73104	35.46756, -97.51643
80216	39.73915, -104.9847
98101	47.60621, -122.33207
83702	43.6135, -116.20345
99201	47.65966, -117.42908
V6Z1K3	49.24966, -123.11934
97209	45.52345, -122.67621
95070	37.26383, -122.02301
94102	37.77493, -122.41942
89501	39.52963, -119.8138
17257	40.05065, -77.52026
M9W 0G4	43.70643, -79.39864
nan	22.39988, -102.01676
92270	33.73974, -116.41279
92082	33.21837, -117.0342
AB T5B	53.55014, -113.46871
95113	37.33939, -121.89496
