Band,Show Date,City,ST,Venue,Nights,Type,Capacity,Attn,$/Head,,Gross,,Show Costs,,Net Receipts
Air Supply,01/09/2025,Lubbock,TX,The Buddy Holly Hall of Performing Arts and Sciences,1,H,2200,1412,$6.15,null,$8685.00,null,$2846.81,null,$5838.19,null
Air Supply,01/10/2025,Arlington,TX,Arlington Music Hall,1,H,1100,684,$12.13,null,$8295.00,null,$1997.29,null,$6297.71,null
Air Supply,01/11/2025,Albuquerque,NM,Route 66 Casino,1,H,1200,936,$9.91,null,$9275.00,null,$2426.56,null,$6848.44,null
Air Supply,01/16/2025,Tulsa,OK,River Spirit Casino Resort - Paradise Cove,1,H,2000,1285,$5.93,null,$7621.40,null,$2402.94,null,$5218.46,null
Air Supply,01/17/2025,Oklahoma City,OK,The Civic Center Music Hall,1,H,0,1153,$7.47,null,$8615.00,null,$2844.56,null,$5770.44,null
Air Supply,01/22/2025,Moncton Northwest,NB,Casino New Brunswick,2,H,5000,2910,$2.43,null,$7081.10,null,$1650.37,null,$5430.73,null
Air Supply,01/25/2025,Orillio,Ontario,Casino Roma Resort,1,H,5000,0,$0.00,null,$6576.52,null,$1972.95,null,$4603.56,null
Air Supply,01/30/2025,Lady Lake,FL,Sharon L Morse Performing Arts Center,1,H,1022,859,$4.51,null,$3875.00,null,$922.21,null,$2952.79,null
Air Supply,01/31/2025,Oxford,AL,Oxford Performing Arts Center,1,H,0,1180,$4.14,null,$4880.00,null,$695.52,null,$4184.48,null
Air Supply,02/07/2025,Bristol,VA,Hard Rock Hotel & Casino Bristol,1,H,0,1684,$3.78,null,$6365.00,null,$1747.22,null,$4617.78,null
Air Supply,02/08/2025,Cincinnati,OH,Hard Rock Casino Cincinnati OH,1,H,0,1383,$5.72,null,$7905.00,null,$2309.02,null,$5595.98,null
Air Supply,02/21/2025,Waukegan,IL,Genesee Theater,1,H,0,2177,$7.34,null,$15975.00,null,$4774.32,null,$11200.68,null
Air Supply,02/22/2025,Indianapolis,IN,Old National Centre,1,H,2515,2333,$5.72,null,$13337.55,null,$4199.05,null,$9138.50,null
Air Supply,02/23/2025,Wilmington,DE,Grand Opera House,1,H,2416,837,$4.92,null,$4115.00,null,$971.88,null,$3143.12,null
Air Supply,03/07/2025,Myrtle Beach,SC,The Carolina Opry Theatre,1,H,0,null,null,null,$0.00,null,$0.00,null,$0.00,null
Air Supply,03/08/2025,Miramar,FL,Miramar Cultural Center,1,H,770,null,null,null,$2752.17,null,null,null,$2752.17,null
Air Supply,03/09/2025,Orlando,FL,Walt Disney World Resort Epcot Center,1,H,0,null,null,null,$0.00,null,null,null,$0.00,null
Air Supply,03/15/2025,null,null,70's Rock and Romance Cruise,1,H,0,null,null,null,$0.00,null,null,null,$0.00,null
Air Supply,03/22/2025,Daytona Beach,FL,Peabody Auditorium,1,H,0,null,null,null,$0.00,null,$0.00,null,$0.00,null
Air Supply,03/28/2025,Atlantic City,NJ,Ocean Resorts & Casino,1,H,0,null,null,null,$0.00,null,$0.00,null,$0.00,null
Air Supply,03/29/2025,Medford,MA,Chevalier Theater,1,H,0,null,null,null,$0.00,null,$0.00,null,$0.00,null
Alan Parsons Live,04/15/2022,El Cajon,CA,the magnolia,1,H,0,959,$7.47,null,$7165.00,null,$2540.24,null,$4624.76,null
Alan Parsons Live,04/16/2022,Phoenix,AZ,Celebrity Theater,1,H,2650,1952,$4.43,null,$8650.00,null,$2780.25,null,$5869.75,null
Alan Parsons Live,04/17/2022,Albuquerque,NM,Kiva Auditorium - Albuquerque Convention Center,1,H,2322,1022,$10.18,null,$10400.00,null,$2874.16,null,$7525.84,null
Alan Parsons Live,04/19/2022,Colorado Springs,CO,Pikes Peak Center,1,H,2000,1161,$6.49,null,$7535.00,null,$1853.42,null,$5681.58,null
Alan Parsons Live,04/21/2022,Minneapolis,MN,State Theatre,1,H,2050,1536,$7.28,null,$11175.00,null,$2653.53,null,$8521.47,null
Alan Parsons Live,04/22/2022,Davenport,IA,Adler Theatre,1,H,2300,1075,$6.36,null,$6835.00,null,$2106.20,null,$4728.80,null
Alan Parsons Live,04/23/2022,Waukegan,IL,Genessee Theatre,1,H,0,1596,$4.44,null,$7090.00,null,$2033.12,null,$5056.88,null
Alan Parsons Live,04/25/2022,Milwaukee,WI,Pabst Theater,1,H,1345,1008,$4.83,null,$4870.00,null,$1320.22,null,$3549.78,null
Alan Parsons Live,04/26/2022,Dayton,OH,Schuster Center Mead Theatre,1,H,2300,1328,$2.35,null,$3115.00,null,$889.07,null,$2225.93,null
Alan Parsons Live,04/27/2022,Royal Oak,null,Royal Oak Music Theatre,1,H,1700,915,$5.60,null,$5125.00,null,$1407.37,null,$3717.63,null
Alan Parsons Live,04/30/2022,Montclair,NJ,The Wellmont Theater,1,H,2500,0,$0.00,null,$4165.00,null,$1109.58,null,$3055.42,null
Alan Parsons Live,05/02/2022,Cornelius,NC,Cruise To The Edge,6,H,0,0,$0.00,null,$3735.00,null,$884.50,null,$2850.50,null
Alan Parsons Live,01/27/2022,Jacksonville,FL,The Florida Theatre,1,H,1900,740,$6.32,null,$4680.00,null,$787.94,null,$3892.06,null
Alan Parsons Live,01/29/2022,Clearwater,FL,Ruth Eckerd Hall,1,H,2180,1493,$3.88,null,$5790.00,null,$1514.58,null,$4275.42,null
Alan Parsons Live,01/30/2022,Fort Lauderdale,FL,Broward Center for the Performing Arts Center,1,H,2650,1321,$3.92,null,$5175.00,null,$1366.45,null,$3808.55,null
Alan Parsons Live,02/01/2022,Atlanta,null,Atlanta Symphony Orchestra,1,H,1814,1330,$7.27,null,$9665.00,null,$3062.93,null,$6602.07,null
Alan Parsons Live,02/02/2022,Charleston,SC,Charleston Music Hall,1,H,900,495,$6.47,null,$3205.00,null,$909.96,null,$2295.04,null
Alan Parsons Live,02/03/2022,Durham,NC,Carolina Theatre of Durham,1,H,1032,730,$5.01,null,$3655.00,null,$695.32,null,$2959.68,null
Alan Parsons Live,02/07/2022,Austin,TX,Paramount Theatre,1,H,320,709,$5.33,null,$3780.00,null,$885.14,null,$2894.86,null
Alanis Morissette (MH),09/21/2024,Jacksonville,FL,Daily's Place,1,H,5500,5365,$8.44,null,$45299.35,null,$13400.18,null,$31899.17,null
Alanis Morissette (MH),09/29/2024,San Clemente,CA,Tsurt @ Ohana,1,H,22000,0,$0.00,null,$30915.00,null,$7961.86,null,$22953.14,null
Alanis Morissette (MH),06/09/2024,Phoenix,null,Talking Stick Resort Amphitheater,1,H,0,11900,$14.18,null,$168791.55,null,$51203.21,null,$117588.34,null
Alanis Morissette (MH),06/12/2024,Austin,TX,Moody Center,1,H,0,9892,$16.02,null,$158478.27,null,$54621.02,null,$103857.25,null
Alanis Morissette (MH),06/14/2024,Dallas,null,Dos Equis Pavilion,1,H,0,16856,$15.87,null,$267557.25,null,$79956.67,null,$187600.58,null
Alanis Morissette (MH),06/16/2024,Spring,TX,Cynthia Woods Mitchell Pavilion,1,H,16500,14471,$14.92,null,$215912.80,null,$64623.26,null,$151289.54,null
Alanis Morissette (MH),06/19/2024,Tampa,FL,MIDFLORIDA Credit Union Amphitheatre,1,H,20000,14139,$12.34,null,$174433.18,null,$51359.77,null,$123073.41,null
Alanis Morissette (MH),06/20/2024,West Palm Beach,FL,iTHINK Financial Amphitheatre,1,H,8500,14756,$8.93,null,$131807.95,null,$38532.27,null,$93275.68,null
Alanis Morissette (MH),06/22/2024,Alpharetta,GA,Ameris Bank Amphitheatre,1,H,12000,11032,$15.26,null,$168394.69,null,$49804.25,null,$118590.44,null
Alanis Morissette (MH),06/23/2024,Nashville,TN,Bridgestone Arena,1,H,20000,8405,$19.87,null,$167047.44,null,$51663.54,null,$115383.90,null
Alanis Morissette (MH),06/26/2024,Charlotte,N.C.,PNC Music Pavilion,1,H,18500,13315,$9.65,null,$128523.03,null,$37690.96,null,$90832.07,null
Alanis Morissette (MH),06/27/2024,Raleigh,North Carolina,Coastal Credit Union Music Park at Walnut Creek,1,H,19000,13951,$9.60,null,$133998.29,null,$39106.11,null,$94892.18,null
Alanis Morissette (MH),06/29/2024,Columbia,MD,Merriweather Post Pavilion,1,H,24000,24039,$11.19,null,$268940.00,null,$88326.66,null,$180613.34,null
Alanis Morissette (MH),07/02/2024,Camden,NJ,Freedom Mortgage Pavilion,1,H,25000,16881,$7.68,null,$129689.41,null,$31064.05,null,$98625.36,null
Alanis Morissette (MH),07/03/2024,Holmdel,NJ,PNC Bank Arts Center,1,H,18000,11800,$9.68,null,$114221.72,null,$27444.74,null,$86776.98,null
Alanis Morissette (MH),07/05/2024,Bethel,NY,Bethel Woods Center for the Arts,1,H,15000,14502,$7.87,null,$114062.40,null,$30707.90,null,$83354.50,null
Alanis Morissette (MH),07/06/2024,Hartford,null,XFINITY Theatre,1,H,21000,10292,$10.12,null,$104153.21,null,$29851.82,null,$74301.39,null
Alanis Morissette (MH),07/09/2024,Mansfield,MA,Xfinity Center,1,H,20000,17776,$9.35,null,$166124.76,null,$40092.93,null,$126031.83,null
Alanis Morissette (MH),07/10/2024,Wantagh,null,Northwell at Jones Beach Theater,1,H,15000,12780,$8.84,null,$112954.63,null,$31293.31,null,$81661.32,null
Alanis Morissette (MH),07/13/2024,Toronto,ON,Budweiser Stage,2,H,32800,30385,$7.97,null,$242093.30,null,$79562.53,null,$162530.77,null
Alanis Morissette (MH),07/16/2024,Village of Clarkston,MI,Pine Knob Music Theatre,1,H,0,13881,$13.14,null,$182410.00,null,$50694.12,null,$131715.88,null
Alanis Morissette (MH),07/17/2024,Cuyahoga Falls,OH,Blossom Music Center,1,H,20000,18160,$11.18,null,$202947.46,null,$58973.58,null,$143973.88,null
Alanis Morissette (MH),07/19/2024,St Paul,MN,Harriet Island Park Minnesota Yacht Club,1,H,0,0,$0.00,null,$72230.00,null,$21669.00,null,$50561.00,null
Alanis Morissette (MH),07/21/2024,Chicago,IL,Pitchfork Music Festival,1,H,18000,8500,$2.52,null,$21436.83,null,$6739.23,null,$14697.60,null
Alanis Morissette (MH),07/23/2024,Maryland Heights,MO,Hollywood Casino Amphitheatre,1,H,20000,16176,$11.38,null,$184120.52,null,$56060.42,null,$128060.10,null
Alanis Morissette (MH),07/24/2024,Cincinnati,OH,Riverbend Music Center,1,H,16000,15000,$11.44,null,$171605.00,null,$57692.61,null,$113912.39,null
Alanis Morissette (MH),07/27/2024,Noblesville,null,Ruoff Music Center,1,H,24000,18381,$13.82,null,$254039.40,null,$74264.98,null,$179774.42,null
Alanis Morissette (MH),07/28/2024,Milwaukee,WI,American Family Insurance Amphitheatre,1,H,0,14942,$13.82,null,$206468.34,null,$61285.82,null,$145182.52,null
Alanis Morissette (MH),07/31/2024,Denver,CO,Ball Arena,1,H,20000,11210,$15.89,null,$178090.00,null,$53746.82,null,$124343.18,null
Alanis Morissette (MH),08/01/2024,West Valley City,utah,Utah First Credit Union Amphitheatre,1,H,0,17336,$15.31,null,$265493.43,null,$77276.11,null,$188217.32,null
Alanis Morissette (MH),08/03/2024,Auburn,WA,White River Amphitheater,1,H,20000,13683,$16.79,null,$229763.84,null,$70416.12,null,$159347.72,null
Alanis Morissette (MH),08/04/2024,Portland,OR,Moda Center,1,H,19980,10476,$15.29,null,$160165.00,null,$37639.60,null,$122525.40,null
Alanis Morissette (MH),08/07/2024,Mountain View,CA,Shoreline Amphitheatre,1,H,22000,15178,$11.67,null,$177085.92,null,$53826.92,null,$123259.00,null
Alanis Morissette (MH),08/08/2024,Thousand Palms,CA,Acrisure Arena,1,H,9360,7310,$13.07,null,$95545.97,null,$28028.81,null,$67517.16,null
Alanis Morissette (MH),08/10/2024,Inglewood,CA,Kia Forum,1,H,12000,11497,$12.98,null,$149215.00,null,$45863.60,null,$103351.40,null
Alanis Morissette Wellness Brand,06/09/2024,Phoenix,AZ,Talking Stick Resort Arena,1,H,18422,11900,$0.34,null,$4018.20,null,$1218.93,null,$2799.27,null
Alanis Morissette Wellness Brand,06/12/2024,Austin,TX,Moody Center,1,H,0,9892,$0.51,null,$5076.93,null,$1749.82,null,$3327.11,null
Alanis Morissette Wellness Brand,06/14/2024,Dallas,null,Dos Equis Pavilion,1,H,0,16856,$0.24,null,$4010.61,null,$1207.07,null,$2803.54,null
Alanis Morissette Wellness Brand,06/16/2024,Spring,TX,Cynthia Woods Mitchell Pavilion,1,H,16500,14471,$0.32,null,$4573.52,null,$1376.49,null,$3197.03,null
Alanis Morissette Wellness Brand,06/19/2024,Tampa,FL,MIDFLORIDA Credit Union Amphitheatre,1,H,20000,14139,$0.12,null,$1746.94,null,$516.77,null,$1230.17,null
Alanis Morissette Wellness Brand,06/20/2024,West Palm Beach,FL,iTHINK Financial Amphitheatre,1,H,17000,14756,$0.09,null,$1348.20,null,$394.13,null,$954.07,null
Alanis Morissette Wellness Brand,06/22/2024,Alpharetta,GA,Ameris Bank Amphitheatre,1,H,12000,11032,$0.17,null,$1837.18,null,$546.64,null,$1290.54,null
Alanis Morissette Wellness Brand,06/23/2024,Nashville,TN,Bridgestone Arena,1,H,20000,8405,$0.42,null,$3566.97,null,$1109.58,null,$2457.39,null
Alanis Morissette Wellness Brand,06/26/2024,Charlotte,N.C.,PNC Music Pavilion,1,H,18500,13315,$0.22,null,$2992.31,null,$879.99,null,$2112.32,null
