artistName,Genre,showDate,venue name,venue city,venue state,attendance,venue capacity,product size,productType,product price,Item Name
2 Chainz,,4/17/2026,The Momentary Green,Bentonville,,0,6000,S,t-shirt,,T.R.U Story Tee
2 Chainz,,4/18/2026,The Wave,Wichita,,0,0,S,t-shirt,,T.R.U Story Tee
2 Chainz,,4/19/2026,Red Rocks Amphitheatre,Morrison,,0,9545,S,t-shirt,,T.R.U Story Tee
2 Chainz,,4/17/2026,The Momentary Green,Bentonville,,0,6000,M,t-shirt,,T.R.U Story Tee
2 Chainz,,4/18/2026,The Wave,Wichita,,0,0,M,t-shirt,,T.R.U Story Tee
2 Chainz,,4/19/2026,Red Rocks Amphitheatre,Morrison,,0,9545,M,t-shirt,,T.R.U Story Tee
2 Chainz,,4/17/2026,The Momentary Green,Bentonville,,0,6000,L,t-shirt,,T.R.U Story Tee
2 Chainz,,4/18/2026,The Wave,Wichita,,0,0,L,t-shirt,,T.R.U Story Tee
2 Chainz,,4/19/2026,Red Rocks Amphitheatre,Morrison,,0,9545,L,t-shirt,,T.R.U Story Tee
2 Chainz,,4/17/2026,The Momentary Green,Bentonville,,0,6000,XL,t-shirt,,T.R.U Story Tee
2 Chainz,,4/18/2026,The Wave,Wichita,,0,0,XL,t-shirt,,T.R.U Story Tee
2 Chainz,,4/19/2026,Red Rocks Amphitheatre,Morrison,,0,9545,XL,t-shirt,,T.R.U Story Tee
2 Chainz,,4/17/2026,The Momentary Green,Bentonville,,0,6000,XXL,t-shirt,,T.R.U Story Tee
2 Chainz,,4/18/2026,The Wave,Wichita,,0,0,XXL,t-shirt,,T.R.U Story Tee
2 Chainz,,4/19/2026,Red Rocks Amphitheatre,Morrison,,0,9545,XXL,t-shirt,,T.R.U Story Tee
2 Chainz,,4/17/2026,The Momentary Green,Bentonville,,0,6000,3XL,t-shirt,,T.R.U Story Tee
2 Chainz,,4/18/2026,The Wave,Wichita,,0,0,3XL,t-shirt,,T.R.U Story Tee
2 Chainz,,4/19/2026,Red Rocks Amphitheatre,Morrison,,0,9545,3XL,t-shirt,,T.R.U Story Tee
2 Chainz,,4/17/2026,The Momentary Green,Bentonville,,0,6000,S,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/18/2026,The Wave,Wichita,,0,0,S,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/19/2026,Red Rocks Amphitheatre,Morrison,,0,9545,S,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/17/2026,The Momentary Green,Bentonville,,0,6000,M,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/18/2026,The Wave,Wichita,,0,0,M,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/19/2026,Red Rocks Amphitheatre,Morrison,,0,9545,M,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/17/2026,The Momentary Green,Bentonville,,0,6000,L,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/18/2026,The Wave,Wichita,,0,0,L,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/19/2026,Red Rocks Amphitheatre,Morrison,,0,9545,L,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/17/2026,The Momentary Green,Bentonville,,0,6000,XL,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/18/2026,The Wave,Wichita,,0,0,XL,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/19/2026,Red Rocks Amphitheatre,Morrison,,0,9545,XL,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/17/2026,The Momentary Green,Bentonville,,0,6000,XXL,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/18/2026,The Wave,Wichita,,0,0,XXL,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/19/2026,Red Rocks Amphitheatre,Morrison,,0,9545,XXL,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/17/2026,The Momentary Green,Bentonville,,0,6000,3XL,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/18/2026,The Wave,Wichita,,0,0,3XL,pullover hoodie,,Voice in my Head Hoodie
2 Chainz,,4/19/2026,Red Rocks Amphitheatre,Morrison,,0,9545,3XL,pullover hoodie,,Voice in my Head Hoodie
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,S,t-shirt,,EU: Black Calling World T-Shirt
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,M,t-shirt,,EU: Black Calling World T-Shirt
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,L,t-shirt,,EU: Black Calling World T-Shirt
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,XL,t-shirt,,EU: Black Calling World T-Shirt
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,XXL,t-shirt,,EU: Black Calling World T-Shirt
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,S,t-shirt,,EU: Natural Pop Art Calling T-Shirt 24'
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,M,t-shirt,,EU: Natural Pop Art Calling T-Shirt 24'
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,L,t-shirt,,EU: Natural Pop Art Calling T-Shirt 24'
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,ONE SIZE,t-shirt,,EU: Natural Pop Art Calling T-Shirt 24'
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,XXL,t-shirt,,EU: Natural Pop Art Calling T-Shirt 24'
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,S,pullover hoodie,,EU: Black Calling World Tour Hoodie 24'
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,M,pullover hoodie,,EU: Black Calling World Tour Hoodie 24'
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,L,pullover hoodie,,EU: Black Calling World Tour Hoodie 24'
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,XL,pullover hoodie,,EU: Black Calling World Tour Hoodie 24'
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,XXL,pullover hoodie,,EU: Black Calling World Tour Hoodie 24'
Atarashii Gakko!,J-Rock,6/7/2024,Live Music Hall,Cologne,null,null,1500,ONE SIZE,stickers,,EU:''SMALL'' Sticker Pack 24'
Billy Porter,Comedy/Entertainment,11/3/2023,Bayou Music Center,Houston,null,null,3400,S,t-shirt,,Photo Tour Burnout T-Shirt
Billy Porter,Comedy/Entertainment,11/3/2023,Bayou Music Center,Houston,null,null,3400,M,t-shirt,,Photo Tour Burnout T-Shirt
Billy Porter,Comedy/Entertainment,11/3/2023,Bayou Music Center,Houston,null,null,3400,L,t-shirt,,Photo Tour Burnout T-Shirt
Billy Porter,Comedy/Entertainment,11/3/2023,Bayou Music Center,Houston,null,null,3400,XL,t-shirt,,Photo Tour Burnout T-Shirt
Billy Porter,Comedy/Entertainment,11/3/2023,Bayou Music Center,Houston,null,null,3400,XXL,t-shirt,,Photo Tour Burnout T-Shirt
Billy Porter,Comedy/Entertainment,11/3/2023,Bayou Music Center,Houston,null,null,3400,S,t-shirt,,Photo Tour Black T-Shirt
Billy Porter,Comedy/Entertainment,11/3/2023,Bayou Music Center,Houston,null,null,3400,M,t-shirt,,Photo Tour Black T-Shirt
Billy Porter,Comedy/Entertainment,11/3/2023,Bayou Music Center,Houston,null,null,3400,L,t-shirt,,Photo Tour Black T-Shirt
Billy Porter,Comedy/Entertainment,11/3/2023,Bayou Music Center,Houston,null,null,3400,XL,t-shirt,,Photo Tour Black T-Shirt
